word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other;title_counter;lyrics_counter
daily;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;1
dam;noun, verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
damage;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
damages;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
damp;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False;0;0
dance;verb, noun;False;True;False;False;True;False;False;False;False;False;1;58
danger;noun;False;True;False;False;False;False;False;False;False;False;1;2
dangerous;adjective;False;False;True;False;False;False;False;False;False;False;0;0
dare;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
dark;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;15
data;noun;False;True;False;False;False;False;False;False;False;False;0;0
date;noun, verb, noun;False;True;False;False;True;False;False;False;False;False;0;2
daughter;noun;False;True;False;False;False;False;False;False;False;False;0;1
dawn;noun, verb;False;True;False;False;True;False;False;False;False;False;0;2
day;noun;False;True;False;False;False;False;False;False;False;False;5;148
deaf;adjective;False;False;True;False;False;False;False;False;False;False;0;1
deal;verb, noun, noun;False;True;False;False;True;False;False;False;False;False;0;2
dearth;noun;False;True;False;False;False;False;False;False;False;False;0;0
death;noun;False;True;False;False;False;False;False;False;False;False;0;0
debate;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
debt;noun;False;True;False;False;False;False;False;False;False;False;0;0
decade;noun;False;True;False;False;False;False;False;False;False;False;0;0
decay;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
decision;noun;False;True;False;False;False;False;False;False;False;False;0;0
decisive;adjective;False;False;True;False;False;False;False;False;False;False;0;0
decline;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
decongestant;noun;False;True;False;False;False;False;False;False;False;False;0;0
decoration;noun;False;True;False;False;False;False;False;False;False;False;0;0
decorative;adjective;False;False;True;False;False;False;False;False;False;False;0;0
decrease;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
defeat;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
defendant;noun;False;True;False;False;False;False;False;False;False;False;0;0
defense;noun;False;True;False;False;False;False;False;False;False;False;0;0
deference;noun;False;True;False;False;False;False;False;False;False;False;0;0
defiance;noun;False;True;False;False;False;False;False;False;False;False;0;0
deficit;noun;False;True;False;False;False;False;False;False;False;False;0;0
definite;adjective;False;False;True;False;False;False;False;False;False;False;0;0
definition;noun;False;True;False;False;False;False;False;False;False;False;0;0
deforestation;noun;False;True;False;False;False;False;False;False;False;False;0;0
degree;noun;False;True;False;False;False;False;False;False;False;False;0;0
delay;noun, verb;False;True;False;False;True;False;False;False;False;False;0;2
deliberate;adjective, verb;False;False;True;False;True;False;False;False;False;False;0;0
delicate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
delicious;adjective;False;False;True;False;False;False;False;False;False;False;0;0
delight;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
demand;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
democracy;noun;False;True;False;False;False;False;False;False;False;False;0;0
dental;noun;False;True;False;False;False;False;False;False;False;False;0;0
dentist;noun;False;True;False;False;False;False;False;False;False;False;0;1
department;noun;False;True;False;False;False;False;False;False;False;False;0;2
departure;noun;False;True;False;False;False;False;False;False;False;False;0;0
dependence;noun;False;True;False;False;False;False;False;False;False;False;0;0
deposit;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
depression;noun;False;True;False;False;False;False;False;False;False;False;0;0
depth;noun;False;True;False;False;False;False;False;False;False;False;0;0
description;noun;False;True;False;False;False;False;False;False;False;False;0;0
desert;noun, verb;False;True;False;False;True;False;False;False;False;False;0;3
design;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
designer;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
desire;verb, noun;False;True;False;False;True;False;False;False;False;False;0;1
desk;noun;False;True;False;False;False;False;False;False;False;False;0;0
desperate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
destruction;noun;False;True;False;False;False;False;False;False;False;False;0;2
detail;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
determined;adjective;False;False;True;False;False;False;False;False;False;False;0;1
developer;noun;False;True;False;False;False;False;False;False;False;False;0;0
development;noun;False;True;False;False;False;False;False;False;False;False;0;0
device;noun;False;True;False;False;False;False;False;False;False;False;0;0
diamond;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;7
diarrhea;noun;False;True;False;False;False;False;False;False;False;False;0;0
diary;noun;False;True;False;False;False;False;False;False;False;False;0;0
