word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other
mother-in-law;noun;False;True;False;False;False;False;False;False;False;False
motion;noun, verb;False;True;False;False;True;False;False;False;False;False
motor;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False
mount;verb, noun, noun;False;True;False;False;True;False;False;False;False;False
mountain;noun;False;True;False;False;False;False;False;False;False;False
mouse;noun;False;True;False;False;False;False;False;False;False;False
mouth;noun, verb;False;True;False;False;True;False;False;False;False;False
move;verb, noun;False;True;False;False;True;False;False;False;False;False
movement;noun;False;True;False;False;False;False;False;False;False;False
movie;noun;False;True;False;False;False;False;False;False;False;False
much;adjective, adverb, pronoun;True;False;True;True;False;False;False;False;False;False
mud;noun;False;True;False;False;False;False;False;False;False;False
muggy;adjective;False;False;True;False;False;False;False;False;False;False
multiply;verb;False;False;False;False;True;False;False;False;False;False
mundane;adjective;False;False;True;False;False;False;False;False;False;False
murder;noun, verb;False;True;False;False;True;False;False;False;False;False
muscle;noun, verb;False;True;False;False;True;False;False;False;False;False
museum;noun;False;True;False;False;False;False;False;False;False;False
music;noun;False;True;False;False;False;False;False;False;False;False
musical;adjective, noun;False;True;True;False;False;False;False;False;False;False
musician;noun;False;True;False;False;False;False;False;False;False;False
must;verb, noun;False;True;False;False;True;False;False;False;False;False
mustache;noun;False;True;False;False;False;False;False;False;False;False
mutual;adjective;False;False;True;False;False;False;False;False;False;False
my;adjective;False;False;True;False;False;False;False;False;False;False
myself;pronoun;True;False;False;False;False;False;False;False;False;True
mysterious;adjective;False;False;True;False;False;False;False;False;False;False
mystery;noun;False;True;False;False;False;False;False;False;False;False
nail;noun, verb;False;True;False;False;True;False;False;False;False;False
naked;adjective;False;False;True;False;False;False;False;False;False;False
name;noun, verb, adjective;False;True;True;False;True;False;False;False;False;False
narrow;adjective, verb;False;False;True;False;True;False;False;False;False;False
nation;noun;False;True;False;False;False;False;False;False;False;False
national;adjective, noun;False;True;True;False;False;False;False;False;False;False
native;adjective, noun;False;True;True;False;False;False;False;False;False;False
natural;adjective, noun;False;True;True;False;False;False;False;False;False;False
naturally;adverb;False;False;False;True;False;False;False;False;False;False
nature;noun;False;True;False;False;False;False;False;False;False;False
nausea;noun;False;True;False;False;False;False;False;False;False;False
navy;noun;False;True;False;False;False;False;False;False;False;False
near;adverb, preposition, adjective, verb;False;False;True;True;False;False;True;False;False;False
nearby;adjective;False;False;True;False;False;False;False;False;False;False
nearly;adverb;False;False;False;True;False;False;False;False;False;False
neat;adjective;False;False;True;False;False;False;False;False;False;False
necessary;adjective, noun;False;True;True;False;False;False;False;False;False;False
neck;noun, verb;False;True;False;False;True;False;False;False;False;False
need;verb, noun;False;True;False;False;True;False;False;False;False;False
needle;noun, verb;False;True;False;False;True;False;False;False;False;False
negative;adjective, noun;False;True;True;False;False;False;False;False;False;False
negligence;noun;False;True;False;False;False;False;False;False;False;False
negligent;adjective;False;False;True;False;False;False;False;False;False;False
neighbor;noun;False;True;False;False;False;False;False;False;False;False
neighborhood;noun;False;True;False;False;False;False;False;False;False;False
neither;adjective, pronoun, conjunction;True;False;True;False;False;False;False;True;False;False
nephew;noun;False;True;False;False;False;False;False;False;False;False
nerve;noun;False;True;False;False;False;False;False;False;False;False
nervous;adjective;False;False;True;False;False;False;False;False;False;False
